"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,"Project 3 - Handwriting recognition",project,2020-05-27,2020-07-13,0,0,0,,,,,
1.1,Research,group,2020-06-08,2020-06-15,0,0,0,,,,,
1.1.1,"Understand basic theory behind neural networks",task,2020-06-08,2020-06-09,0,0,0,,,,,green1
1.1.2,"Understand different types of neural networks",task,2020-06-10,2020-06-11,0,0,0,,1.1.1,,,green1
1.1.3,"Find out about different activation functions",task,2020-06-12,2020-06-12,0,0,0,,1.1.2,,,green1
1.1.4,"Meeting to talk about researched information",task,2020-06-13,2020-06-13,0,0,0,,1.1.3,,,green1
1.1.5,"Research done",milestone,2020-06-15,2020-06-15,0,0,0,,1.1.4,,,green1
1.2,"1st coding phase",group,2020-06-16,2020-06-23,0,0,0,,,,,
1.2.1,"Initialize implementation part ",task,2020-06-16,2020-06-16,0,0,0,,1.1.5,,,purple1
1.2.2,"Basic feed forward NN on (E)MNIST using numpy",task,2020-06-17,2020-06-20,0,0,0,,1.2.1,,,purple1
1.2.3,"Basic feed forward NN on (E)MNIST with libraries",task,2020-06-17,2020-06-20,0,0,0,,1.2.1,,,purple1
1.2.4,"CNN working on (E)MNIST",task,2020-06-17,2020-06-20,0,0,0,,1.2.1,,,purple1
1.2.5,"Final meeting for first coding phase",task,2020-06-22,2020-06-22,0,0,0,,"1.2.2,1.2.3,1.2.4",,,purple1
1.2.6,"1st coding phase done",milestone,2020-06-23,2020-06-23,0,0,0,,1.2.5,,,blue2
1.3,"2nd coding phase",group,2020-06-23,2020-07-07,0,0,0,,,,,
1.3.1,"meeting: what from 1st phase can be used?",task,2020-06-23,2020-06-23,0,0,0,,,,,orange1
1.3.2,"feature: create and save own data",task,2020-06-24,2020-07-04,0,0,0,,1.3.1,,,orange1
1.3.3,"feature: recognizing single digit from 28x28 image",task,2020-06-24,2020-06-24,0,0,0,,"1.2.3,1.3.1",,,orange1
1.3.4,"feature: single letters from image",task,2020-06-25,2020-06-26,0,0,0,,"1.3.1,1.3.3",,,orange1
1.3.5,"feature: multiple letters from image",task,2020-06-27,2020-07-03,0,0,0,,1.3.4,,,orange1
1.3.6,"finalize program/meeting to close 2nd phase",task,2020-07-06,2020-07-06,0,0,0,,"1.3.2,1.3.5",,,orange1
1.3.7,"Program done",milestone,2020-07-07,2020-07-07,0,0,0,,1.3.6,,,blue2
1.4,"Final phase of the project",group,2020-07-06,2020-07-13,0,0,0,,,,,
1.4.1,"create and practice presentation (tbd)",task,2020-07-06,2020-07-11,0,0,0,,,,,yellow1
1.4.2,testing/debugging,task,2020-07-06,2020-07-11,0,0,0,,,,,yellow1
1.4.3,"Project done",milestone,2020-07-13,2020-07-13,0,0,0,,"1.4.1,1.4.2",,,blue2
1.5,"Initial stuff and ongoing tasks",group,2020-05-27,2020-07-09,0,0,0,,,,,
1.5.1,"create plan",task,2020-05-27,2020-05-28,0,0,0,,,,,blue2
1.5.2,"Initialization & planning done",milestone,2020-05-29,2020-05-29,0,0,0,,"1.5.1,1.5.3,1.5.4",,,blue2
1.5.3,"setup Git repository",task,2020-05-27,2020-05-27,0,0,0,,,,,blue2
1.5.4,"final planning meeting with customer",task,2020-05-28,2020-05-28,0,0,0,,,,,blue2
1.5.5,"customer meeting",task,2020-06-11,2020-06-11,0,0,0,,,,,blue2
1.5.6,"customer meeting",task,2020-06-25,2020-06-25,0,0,0,,,,,blue2
1.5.7,"customer meeting",task,2020-07-09,2020-07-09,0,0,0,,,,,blue2
